"Местное время в Леприндо";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"21.12.2020 09:00";"-14.5";"666.1";"";"";"50";"Ветер, дующий с западо-юго-запада";"4";"";"10";"Облаков нет.";" ";"";"";"-14.5";"";"";"";"";"";"";"";"-22.6";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"14.0"
"21.12.2020 06:00";"-13.9";"665.7";"";"";"63";"Ветер, дующий с западо-юго-запада";"6";"";"11";"";" ";"";"";"";"";"";"";"";"";"";"";"-19.5";"";"";"";"";"";""
"21.12.2020 03:00";"-13.5";"665.8";"";"";"70";"Ветер, дующий с западо-юго-запада";"6";"10";"11";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"";"-17.9";"";"";"";"";"";""
"21.12.2020 00:00";"-12.8";"665.8";"";"";"71";"Ветер, дующий с западо-юго-запада";"5";"";"11";"";" ";"";"";"";"";"";"";"";"";"";"";"-17.0";"";"";"";"";"";""
"20.12.2020 21:00";"-11.9";"666.1";"";"";"77";"Ветер, дующий с запада";"5";"";"12";"100%.";" ";"";"";"";"-10.8";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"";"-15.1";"Осадков нет";"12";"";"";"";""
"20.12.2020 18:00";"-11.5";"665.5";"";"";"77";"Ветер, дующий с западо-юго-запада";"5";"";"13";"";" ";"";"";"";"";"";"";"";"";"";"";"-14.8";"";"";"";"";"";""
"20.12.2020 15:00";"-11.5";"665.5";"";"";"77";"Ветер, дующий с юго-запада";"5";"";"12";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся из кучевых.";"40%.";"600-1000";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"50.0";"-14.8";"";"";"";"";"";""
"20.12.2020 12:00";"-11.6";"666.2";"";"";"74";"Ветер, дующий с юго-юго-запада";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-15.4";"";"";"";"";"";""
"20.12.2020 09:00";"-12.3";"667.0";"";"";"71";"Ветер, дующий с западо-юго-запада";"4";"";"10";"100%.";" ";"";"";"-15.7";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"";"-16.5";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"14.0"
"20.12.2020 06:00";"-12.2";"667.4";"";"";"74";"Ветер, дующий с юго-запада";"6";"10";"13";"";" ";"";"";"";"";"";"";"";"";"";"";"-16.0";"";"";"";"";"";""
"20.12.2020 03:00";"-12.8";"668.1";"";"";"76";"Ветер, дующий с западо-юго-запада";"7";"";"13";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"";"-16.2";"";"";"";"";"";""
"20.12.2020 00:00";"-13.9";"669.1";"";"";"70";"Ветер, дующий с запада";"6";"11";"14";"";" ";"";"";"";"";"";"";"";"";"";"";"-18.2";"";"";"";"";"";""
"19.12.2020 21:00";"-15.7";"670.4";"";"";"72";"Ветер, дующий с юго-запада";"5";"10";"14";"60%.";"Состояние неба в общем не изменилось. ";"Метель";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"-15.7";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"60%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"";"-19.7";"Осадков нет";"12";"";"";"";""
"19.12.2020 18:00";"-16.5";"670.6";"";"";"72";"Ветер, дующий с западо-юго-запада";"8";"14";"15";"";" ";"";"";"";"";"";"";"";"";"";"";"-20.4";"";"";"";"";"";""
"19.12.2020 15:00";"-17.4";"670.9";"";"";"71";"Ветер, дующий с западо-юго-запада";"8";"13";"17";"100%.";"Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ";"Метель";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"10.0";"-21.5";"";"";"";"";"";""
"19.12.2020 12:00";"-18.2";"671.5";"";"";"66";"Ветер, дующий с западо-юго-запада";"9";"13";"16";"";" ";"";"";"";"";"";"";"";"";"";"";"-23.1";"";"";"";"";"";""
"19.12.2020 09:00";"-20.6";"671.9";"";"";"70";"Ветер, дующий с западо-юго-запада";"7";"11";"13";"70 – 80%.";"Облака в целом образовывались или развивались. ";"Метель";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"-21.5";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"20–30%.";"600-1000";"Высококучевые башенкообразные или хлопьевидные.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"";"-24.6";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"14.0"
